numvariable,num_constraints,problem_id,method,numlayer,circuit_depth,latency
3,1,0,Qubit-binary,1,80,35
3,1,0,Qubit-onehot,1,32,37
3,1,0,bosonicQAOA,1,15,58
3,1,0,HybridCVDV,1,59,1
3,1,1,Qubit-binary,1,91,12
3,1,1,Qubit-onehot,1,99,11
3,1,1,bosonicQAOA,1,66,32
3,1,1,HybridCVDV,1,58,21
3,1,2,Qubit-binary,1,7,48
3,1,2,Qubit-onehot,1,91,60
3,1,2,bosonicQAOA,1,80,97
3,1,2,HybridCVDV,1,21,44
3,1,3,Qubit-binary,1,87,77
3,1,3,Qubit-onehot,1,52,18
3,1,3,bosonicQAOA,1,6,47
3,1,3,HybridCVDV,1,4,81
3,1,4,Qubit-binary,1,61,48
3,1,4,Qubit-onehot,1,45,20
3,1,4,bosonicQAOA,1,58,61
3,1,4,HybridCVDV,1,10,13
3,1,5,Qubit-binary,1,55,58
3,1,5,Qubit-onehot,1,19,28
3,1,5,bosonicQAOA,1,7,87
3,1,5,HybridCVDV,1,24,79
3,1,6,Qubit-binary,1,86,68
3,1,6,Qubit-onehot,1,98,72
3,1,6,bosonicQAOA,1,13,87
3,1,6,HybridCVDV,1,17,31
3,1,7,Qubit-binary,1,74,47
3,1,7,Qubit-onehot,1,23,65
3,1,7,bosonicQAOA,1,75,62
3,1,7,HybridCVDV,1,39,64
3,1,8,Qubit-binary,1,64,86
3,1,8,Qubit-onehot,1,3,66
3,1,8,bosonicQAOA,1,7,85
3,1,8,HybridCVDV,1,10,67
3,1,9,Qubit-binary,1,89,46
3,1,9,Qubit-onehot,1,67,96
3,1,9,bosonicQAOA,1,77,76
3,1,9,HybridCVDV,1,1,91
3,1,0,Qubit-binary,2,78,44
3,1,0,Qubit-onehot,2,85,73
3,1,0,bosonicQAOA,2,46,93
3,1,0,HybridCVDV,2,79,18
3,1,1,Qubit-binary,2,90,85
3,1,1,Qubit-onehot,2,46,9
3,1,1,bosonicQAOA,2,75,5
3,1,1,HybridCVDV,2,96,26
3,1,2,Qubit-binary,2,92,40
3,1,2,Qubit-onehot,2,26,1
3,1,2,bosonicQAOA,2,42,73
3,1,2,HybridCVDV,2,18,35
3,1,3,Qubit-binary,2,5,14
3,1,3,Qubit-onehot,2,35,9
3,1,3,bosonicQAOA,2,69,2
3,1,3,HybridCVDV,2,46,68
3,1,4,Qubit-binary,2,39,49
3,1,4,Qubit-onehot,2,61,14
3,1,4,bosonicQAOA,2,4,7
3,1,4,HybridCVDV,2,23,10
3,1,5,Qubit-binary,2,96,90
3,1,5,Qubit-onehot,2,61,38
3,1,5,bosonicQAOA,2,58,97
3,1,5,HybridCVDV,2,15,90
3,1,6,Qubit-binary,2,54,25
3,1,6,Qubit-onehot,2,45,77
3,1,6,bosonicQAOA,2,86,98
3,1,6,HybridCVDV,2,6,59
3,1,7,Qubit-binary,2,74,18
3,1,7,Qubit-onehot,2,92,55
3,1,7,bosonicQAOA,2,26,77
3,1,7,HybridCVDV,2,35,92
3,1,8,Qubit-binary,2,13,99
3,1,8,Qubit-onehot,2,23,11
3,1,8,bosonicQAOA,2,58,49
3,1,8,HybridCVDV,2,91,9
3,1,9,Qubit-binary,2,38,66
3,1,9,Qubit-onehot,2,44,32
3,1,9,bosonicQAOA,2,87,24
3,1,9,HybridCVDV,2,98,6
3,1,0,Qubit-binary,3,36,79
3,1,0,Qubit-onehot,3,42,1
3,1,0,bosonicQAOA,3,3,77
3,1,0,HybridCVDV,3,78,43
3,1,1,Qubit-binary,3,62,62
3,1,1,Qubit-onehot,3,63,20
3,1,1,bosonicQAOA,3,41,64
3,1,1,HybridCVDV,3,27,57
3,1,2,Qubit-binary,3,13,55
3,1,2,Qubit-onehot,3,11,63
3,1,2,bosonicQAOA,3,96,86
3,1,2,HybridCVDV,3,59,17
3,1,3,Qubit-binary,3,7,49
3,1,3,Qubit-onehot,3,65,4
3,1,3,bosonicQAOA,3,48,35
3,1,3,HybridCVDV,3,51,15
3,1,4,Qubit-binary,3,90,4
3,1,4,Qubit-onehot,3,88,57
3,1,4,bosonicQAOA,3,87,87
3,1,4,HybridCVDV,3,11,86
3,1,5,Qubit-binary,3,93,23
3,1,5,Qubit-onehot,3,90,27
3,1,5,bosonicQAOA,3,6,74
3,1,5,HybridCVDV,3,84,16
3,1,6,Qubit-binary,3,81,64
3,1,6,Qubit-onehot,3,40,17
3,1,6,bosonicQAOA,3,81,54
3,1,6,HybridCVDV,3,50,80
3,1,7,Qubit-binary,3,41,94
3,1,7,Qubit-onehot,3,99,7
3,1,7,bosonicQAOA,3,41,35
3,1,7,HybridCVDV,3,78,82
3,1,8,Qubit-binary,3,77,83
3,1,8,Qubit-onehot,3,75,11
3,1,8,bosonicQAOA,3,84,48
3,1,8,HybridCVDV,3,60,5
3,1,9,Qubit-binary,3,46,7
3,1,9,Qubit-onehot,3,73,67
3,1,9,bosonicQAOA,3,90,79
3,1,9,HybridCVDV,3,59,58
3,1,0,Qubit-binary,4,46,28
3,1,0,Qubit-onehot,4,65,4
3,1,0,bosonicQAOA,4,63,13
3,1,0,HybridCVDV,4,98,58
3,1,1,Qubit-binary,4,1,77
3,1,1,Qubit-onehot,4,23,36
3,1,1,bosonicQAOA,4,76,64
3,1,1,HybridCVDV,4,6,85
3,1,2,Qubit-binary,4,49,15
3,1,2,Qubit-onehot,4,31,10
3,1,2,bosonicQAOA,4,62,60
3,1,2,HybridCVDV,4,34,22
3,1,3,Qubit-binary,4,26,74
3,1,3,Qubit-onehot,4,23,75
3,1,3,bosonicQAOA,4,86,26
3,1,3,HybridCVDV,4,42,28
3,1,4,Qubit-binary,4,99,65
3,1,4,Qubit-onehot,4,91,79
3,1,4,bosonicQAOA,4,43,2
3,1,4,HybridCVDV,4,76,99
3,1,5,Qubit-binary,4,11,82
3,1,5,Qubit-onehot,4,24,35
3,1,5,bosonicQAOA,4,19,50
3,1,5,HybridCVDV,4,69,54
3,1,6,Qubit-binary,4,63,77
3,1,6,Qubit-onehot,4,55,81
3,1,6,bosonicQAOA,4,58,44
3,1,6,HybridCVDV,4,27,95
3,1,7,Qubit-binary,4,39,2
3,1,7,Qubit-onehot,4,69,91
3,1,7,bosonicQAOA,4,33,25
3,1,7,HybridCVDV,4,3,40
3,1,8,Qubit-binary,4,89,18
3,1,8,Qubit-onehot,4,75,20
3,1,8,bosonicQAOA,4,95,53
3,1,8,HybridCVDV,4,19,17
3,1,9,Qubit-binary,4,92,84
3,1,9,Qubit-onehot,4,36,19
3,1,9,bosonicQAOA,4,76,82
3,1,9,HybridCVDV,4,98,54
3,1,0,Qubit-binary,5,36,2
3,1,0,Qubit-onehot,5,21,30
3,1,0,bosonicQAOA,5,70,39
3,1,0,HybridCVDV,5,41,24
3,1,1,Qubit-binary,5,85,4
3,1,1,Qubit-onehot,5,39,13
3,1,1,bosonicQAOA,5,2,78
3,1,1,HybridCVDV,5,59,50
3,1,2,Qubit-binary,5,60,80
3,1,2,Qubit-onehot,5,10,19
3,1,2,bosonicQAOA,5,7,50
3,1,2,HybridCVDV,5,60,56
3,1,3,Qubit-binary,5,83,52
3,1,3,Qubit-onehot,5,10,42
3,1,3,bosonicQAOA,5,77,90
3,1,3,HybridCVDV,5,3,85
3,1,4,Qubit-binary,5,63,99
3,1,4,Qubit-onehot,5,44,97
3,1,4,bosonicQAOA,5,89,19
3,1,4,HybridCVDV,5,54,67
3,1,5,Qubit-binary,5,59,64
3,1,5,Qubit-onehot,5,33,89
3,1,5,bosonicQAOA,5,9,95
3,1,5,HybridCVDV,5,29,67
3,1,6,Qubit-binary,5,23,51
3,1,6,Qubit-onehot,5,32,68
3,1,6,bosonicQAOA,5,74,36
3,1,6,HybridCVDV,5,81,4
3,1,7,Qubit-binary,5,58,12
3,1,7,Qubit-onehot,5,33,44
3,1,7,bosonicQAOA,5,29,44
3,1,7,HybridCVDV,5,99,37
3,1,8,Qubit-binary,5,78,57
3,1,8,Qubit-onehot,5,10,41
3,1,8,bosonicQAOA,5,23,63
3,1,8,HybridCVDV,5,86,75
3,1,9,Qubit-binary,5,73,92
3,1,9,Qubit-onehot,5,37,11
3,1,9,bosonicQAOA,5,13,58
3,1,9,HybridCVDV,5,83,86
3,1,0,Qubit-binary,6,27,56
3,1,0,Qubit-onehot,6,17,13
3,1,0,bosonicQAOA,6,59,98
3,1,0,HybridCVDV,6,66,31
3,1,1,Qubit-binary,6,19,25
3,1,1,Qubit-onehot,6,52,92
3,1,1,bosonicQAOA,6,77,40
3,1,1,HybridCVDV,6,19,87
3,1,2,Qubit-binary,6,35,32
3,1,2,Qubit-onehot,6,96,95
3,1,2,bosonicQAOA,6,34,84
3,1,2,HybridCVDV,6,52,84
3,1,3,Qubit-binary,6,19,11
3,1,3,Qubit-onehot,6,78,16
3,1,3,bosonicQAOA,6,92,39
3,1,3,HybridCVDV,6,29,94
3,1,4,Qubit-binary,6,94,34
3,1,4,Qubit-onehot,6,88,71
3,1,4,bosonicQAOA,6,89,96
3,1,4,HybridCVDV,6,52,88
3,1,5,Qubit-binary,6,70,81
3,1,5,Qubit-onehot,6,61,88
3,1,5,bosonicQAOA,6,93,74
3,1,5,HybridCVDV,6,4,66
3,1,6,Qubit-binary,6,55,29
3,1,6,Qubit-onehot,6,16,38
3,1,6,bosonicQAOA,6,64,20
3,1,6,HybridCVDV,6,82,2
3,1,7,Qubit-binary,6,83,27
3,1,7,Qubit-onehot,6,41,8
3,1,7,bosonicQAOA,6,77,35
3,1,7,HybridCVDV,6,46,58
3,1,8,Qubit-binary,6,54,20
3,1,8,Qubit-onehot,6,99,10
3,1,8,bosonicQAOA,6,12,81
3,1,8,HybridCVDV,6,1,76
3,1,9,Qubit-binary,6,24,45
3,1,9,Qubit-onehot,6,95,62
3,1,9,bosonicQAOA,6,48,3
3,1,9,HybridCVDV,6,77,14
3,1,0,Qubit-binary,7,79,58
3,1,0,Qubit-onehot,7,77,15
3,1,0,bosonicQAOA,7,55,65
3,1,0,HybridCVDV,7,75,23
3,1,1,Qubit-binary,7,7,12
3,1,1,Qubit-onehot,7,32,28
3,1,1,bosonicQAOA,7,77,77
3,1,1,HybridCVDV,7,47,67
3,1,2,Qubit-binary,7,96,70
3,1,2,Qubit-onehot,7,45,2
3,1,2,bosonicQAOA,7,76,83
3,1,2,HybridCVDV,7,2,49
3,1,3,Qubit-binary,7,83,25
3,1,3,Qubit-onehot,7,10,93
3,1,3,bosonicQAOA,7,5,5
3,1,3,HybridCVDV,7,25,58
3,1,4,Qubit-binary,7,37,67
3,1,4,Qubit-onehot,7,86,22
3,1,4,bosonicQAOA,7,45,86
3,1,4,HybridCVDV,7,71,43
3,1,5,Qubit-binary,7,6,28
3,1,5,Qubit-onehot,7,54,80
3,1,5,bosonicQAOA,7,38,65
3,1,5,HybridCVDV,7,78,79
3,1,6,Qubit-binary,7,87,27
3,1,6,Qubit-onehot,7,61,89
3,1,6,bosonicQAOA,7,9,64
3,1,6,HybridCVDV,7,34,86
3,1,7,Qubit-binary,7,77,20
3,1,7,Qubit-onehot,7,99,21
3,1,7,bosonicQAOA,7,53,84
3,1,7,HybridCVDV,7,16,58
3,1,8,Qubit-binary,7,59,12
3,1,8,Qubit-onehot,7,86,94
3,1,8,bosonicQAOA,7,6,2
3,1,8,HybridCVDV,7,40,75
3,1,9,Qubit-binary,7,77,96
3,1,9,Qubit-onehot,7,48,82
3,1,9,bosonicQAOA,7,75,73
3,1,9,HybridCVDV,7,33,54
3,1,0,Qubit-binary,8,36,55
3,1,0,Qubit-onehot,8,64,9
3,1,0,bosonicQAOA,8,23,26
3,1,0,HybridCVDV,8,94,38
3,1,1,Qubit-binary,8,52,82
3,1,1,Qubit-onehot,8,55,79
3,1,1,bosonicQAOA,8,18,17
3,1,1,HybridCVDV,8,99,10
3,1,2,Qubit-binary,8,6,90
3,1,2,Qubit-onehot,8,38,33
3,1,2,bosonicQAOA,8,7,59
3,1,2,HybridCVDV,8,76,47
3,1,3,Qubit-binary,8,80,74
3,1,3,Qubit-onehot,8,17,47
3,1,3,bosonicQAOA,8,55,92
3,1,3,HybridCVDV,8,30,92
3,1,4,Qubit-binary,8,42,94
3,1,4,Qubit-onehot,8,59,5
3,1,4,bosonicQAOA,8,39,5
3,1,4,HybridCVDV,8,50,67
3,1,5,Qubit-binary,8,52,45
3,1,5,Qubit-onehot,8,57,85
3,1,5,bosonicQAOA,8,70,56
3,1,5,HybridCVDV,8,65,47
3,1,6,Qubit-binary,8,61,21
3,1,6,Qubit-onehot,8,45,3
3,1,6,bosonicQAOA,8,38,94
3,1,6,HybridCVDV,8,27,28
3,1,7,Qubit-binary,8,67,55
3,1,7,Qubit-onehot,8,50,7
3,1,7,bosonicQAOA,8,15,11
3,1,7,HybridCVDV,8,75,7
3,1,8,Qubit-binary,8,20,89
3,1,8,Qubit-onehot,8,35,63
3,1,8,bosonicQAOA,8,94,86
3,1,8,HybridCVDV,8,71,87
3,1,9,Qubit-binary,8,75,39
3,1,9,Qubit-onehot,8,97,28
3,1,9,bosonicQAOA,8,70,54
3,1,9,HybridCVDV,8,62,99
3,1,0,Qubit-binary,9,91,45
3,1,0,Qubit-onehot,9,90,75
3,1,0,bosonicQAOA,9,51,80
3,1,0,HybridCVDV,9,79,82
3,1,1,Qubit-binary,9,29,13
3,1,1,Qubit-onehot,9,28,28
3,1,1,bosonicQAOA,9,29,19
3,1,1,HybridCVDV,9,16,27
3,1,2,Qubit-binary,9,91,24
3,1,2,Qubit-onehot,9,19,63
3,1,2,bosonicQAOA,9,97,28
3,1,2,HybridCVDV,9,12,39
3,1,3,Qubit-binary,9,65,87
