cutoff,method,qubit_width,qumode_width,word
5,Qubit-binary,2.0,0,1.5
5,Qubit-onehot,5,0,0.6
5,bosonicQAOA,0,1,3.0
5,HybridCVDV,1,1,1.5
10,Qubit-binary,3.0,0,1.3333333333333333
10,Qubit-onehot,10,0,0.4
10,bosonicQAOA,0,1,4.0
10,HybridCVDV,1,1,2.0
15,Qubit-binary,4.0,0,1.0
15,Qubit-onehot,15,0,0.26666666666666666
15,bosonicQAOA,0,1,4.0
15,HybridCVDV,1,1,2.0
20,Qubit-binary,4.0,0,1.25
20,Qubit-onehot,20,0,0.25
20,bosonicQAOA,0,1,5.0
20,HybridCVDV,1,1,2.5
25,Qubit-binary,5.0,0,1.0
25,Qubit-onehot,25,0,0.2
25,bosonicQAOA,0,1,5.0
25,HybridCVDV,1,1,2.5
30,Qubit-binary,5.0,0,1.0
30,Qubit-onehot,30,0,0.16666666666666666
30,bosonicQAOA,0,1,5.0
30,HybridCVDV,1,1,2.5
35,Qubit-binary,5.0,0,1.2
35,Qubit-onehot,35,0,0.17142857142857143
35,bosonicQAOA,0,1,6.0
35,HybridCVDV,1,1,3.0
40,Qubit-binary,5.0,0,1.2
40,Qubit-onehot,40,0,0.15
40,bosonicQAOA,0,1,6.0
40,HybridCVDV,1,1,3.0
45,Qubit-binary,5.0,0,1.2
45,Qubit-onehot,45,0,0.13333333333333333
45,bosonicQAOA,0,1,6.0
45,HybridCVDV,1,1,3.0
50,Qubit-binary,6.0,0,1.0
50,Qubit-onehot,50,0,0.12
50,bosonicQAOA,0,1,6.0
50,HybridCVDV,1,1,3.0
55,Qubit-binary,6.0,0,1.0
55,Qubit-onehot,55,0,0.10909090909090909
55,bosonicQAOA,0,1,6.0
55,HybridCVDV,1,1,3.0
60,Qubit-binary,6.0,0,1.0
60,Qubit-onehot,60,0,0.1
60,bosonicQAOA,0,1,6.0
60,HybridCVDV,1,1,3.0
65,Qubit-binary,6.0,0,1.1666666666666667
65,Qubit-onehot,65,0,0.1076923076923077
65,bosonicQAOA,0,1,7.0
65,HybridCVDV,1,1,3.5
70,Qubit-binary,6.0,0,1.1666666666666667
70,Qubit-onehot,70,0,0.1
70,bosonicQAOA,0,1,7.0
70,HybridCVDV,1,1,3.5
75,Qubit-binary,6.0,0,1.1666666666666667
75,Qubit-onehot,75,0,0.09333333333333334
75,bosonicQAOA,0,1,7.0
75,HybridCVDV,1,1,3.5
80,Qubit-binary,6.0,0,1.1666666666666667
80,Qubit-onehot,80,0,0.0875
80,bosonicQAOA,0,1,7.0
80,HybridCVDV,1,1,3.5
85,Qubit-binary,6.0,0,1.1666666666666667
85,Qubit-onehot,85,0,0.08235294117647059
85,bosonicQAOA,0,1,7.0
85,HybridCVDV,1,1,3.5
90,Qubit-binary,6.0,0,1.1666666666666667
90,Qubit-onehot,90,0,0.07777777777777778
90,bosonicQAOA,0,1,7.0
90,HybridCVDV,1,1,3.5
95,Qubit-binary,7.0,0,1.0
95,Qubit-onehot,95,0,0.07368421052631578
95,bosonicQAOA,0,1,7.0
95,HybridCVDV,1,1,3.5
